date,operator,flight_phase,flight_type,country,region,total_on_board,crew_on_board,crew_fatalities,passengers_on_board,passenger_fatalities,total_fatalities,total_survivors,crash_cause
1985-02-19 00:00:00,Iberia - Lineas Aéreas de Espana,Landing (descent or approach),Commercial,Spain,Europe,148,7,7,141,141,148,0,Human Factor
2004-01-03 00:00:00,Flash Airlines,Takeoff (climb),Commercial,Egypt,Africa,148,13,13,135,135,148,0,Human Factor
1980-04-25 00:00:00,Dan-Air London,Landing (descent or approach),Commercial,Spain,Europe,146,8,8,138,138,146,0,Human Factor
1982-07-09 00:00:00,Pan American World Airways - PAA,Takeoff (climb),Commercial,United States of America,North America,145,7,7,138,138,145,0,Weather
2001-07-04 00:00:00,Vladivostok Avia - Vladivostok Air,Landing (descent or approach),Commercial,Russia,Asia,145,9,9,136,136,145,0,Human Factor
1989-02-08 00:00:00,Independent Air,Landing (descent or approach),Commercial,Portugal,Europe,144,7,7,137,137,144,0,Human Factor
1996-11-07 00:00:00,ADC Airlines - Aviation Development Company,Flight,Commercial,Nigeria,Africa,144,10,10,134,134,144,0,Human Factor
1988-03-17 00:00:00,Avianca,Takeoff (climb),Commercial,Colombia,South America,143,7,7,136,136,143,0,Human Factor
2000-08-23 00:00:00,Gulf Air,Landing (descent or approach),Commercial,Bahrain,Asia,143,8,8,135,135,143,0,Human Factor
1992-11-24 00:00:00,China Southern Airlines,Landing (descent or approach),Commercial,China,Asia,141,10,10,131,131,141,0,Human Factor
1995-12-18 00:00:00,Trans Service Airlift - TSA,Takeoff (climb),Humanitarian,Angola,Africa,144,5,4,139,137,141,3,Other
1996-08-29 00:00:00,Vnukovo Airlines - Vnukovskie Avialinii,Landing (descent or approach),Commercial,Norway,Europe,141,11,11,130,130,141,0,Human Factor
2003-12-25 00:00:00,Union des Transports Africains de Guinée - UTA,Takeoff (climb),Commercial,Benin,Africa,163,10,5,153,136,141,22,Human Factor
1982-06-08 00:00:00,VASP - Viação Aérea de São Paulo,Landing (descent or approach),Commercial,Brazil,South America,137,9,9,128,128,137,0,Human Factor
1978-09-25 00:00:00,Pacific Southwest Airlines - PSA,Landing (descent or approach),Commercial,United States of America,North America,135,7,7,128,128,135,0,Human Factor
1985-08-02 00:00:00,Delta Airlines,Landing (descent or approach),Commercial,United States of America,North America,163,11,8,152,126,134,29,Weather
1966-02-04 00:00:00,All Nippon Airways,Landing (descent or approach),Commercial,Japan,Asia,133,7,7,126,126,133,0,Unknown
1988-10-19 00:00:00,Indian Airlines,Landing (descent or approach),Commercial,India,Asia,135,6,6,129,127,133,2,Human Factor
1991-10-05 00:00:00,Indonesian Air Force - TNI-AU Tentara Nasional Indonesia - Angkatan Udara,Takeoff (climb),Military / Government,Indonesia,Asia,134,12,12,122,121,133,1,Technical Failure
1982-06-28 00:00:00,Aeroflot - Russian International Airlines,Flight,Commercial,Belarus,Europe,132,8,8,124,124,132,0,Technical Failure
1993-05-19 00:00:00,SAM Colombia - Sociedad Aeronáutica de Medellín,Flight,Commercial,Colombia,South America,132,7,7,125,125,132,0,Human Factor
1994-09-08 00:00:00,USAir - US Airways,Landing (descent or approach),Commercial,United States of America,North America,132,5,5,127,127,132,0,Technical Failure
2022-03-21 00:00:00,China Eastern Airlines,Flight,Commercial,China,Asia,132,9,9,123,123,132,0,Unknown
1977-11-19 00:00:00,Air Portugal - Transportes Aéreos Portugueses,Landing (descent or approach),Commercial,Portugal,Europe,164,8,6,156,125,131,33,Human Factor
1989-10-21 00:00:00,TAN Airlines - Transportes Aéreos Nacionales de Honduras,Landing (descent or approach),Commercial,Honduras,Central America,146,8,4,138,127,131,15,Human Factor
1993-02-08 00:00:00,Iran Airtour,Takeoff (climb),Commercial,Iran,Asia,131,12,12,119,119,131,0,Human Factor
2000-04-19 00:00:00,Air Philippines,Landing (descent or approach),Commercial,Philippines,Asia,131,7,7,124,124,131,0,Human Factor
1962-06-03 00:00:00,Air France,Takeoff (climb),Commercial,France,Europe,132,10,10,122,120,130,2,Technical Failure
